Feature,Mutual_Information_Score
concave_points_mean,0.4583756930708809
radius_worst,0.4574436480834252
area_worst,0.44904688433825335
perimeter_worst,0.44723654094742504
concave_points_worst,0.43587094184905273
perimeter_mean,0.41424398600033085
radius_mean,0.3790148495248693
area_mean,0.3758090025129073
concavity_mean,0.3469169349316408
area_se,0.34668582448679164
concavity_worst,0.2905763589812449
perimeter_se,0.25587878677188947
compactness_worst,0.24838261982703091
compactness_mean,0.23341679159293416
radius_se,0.2270526308633969
texture_worst,0.15714578097394183
concave_points_se,0.140485362168572
symmetry_mean,0.11659543702867925
concavity_se,0.10758290202903042
texture_mean,0.1019333179506896
symmetry_worst,0.09588137176766764
smoothness_worst,0.09001398276691108
fractal_dimension_worst,0.0710618901061677
smoothness_mean,0.0611489224629187
fractal_dimension_se,0.034113509651299
compactness_se,0.031998795380930645
smoothness_se,0.018084381552633477
fractal_dimension_mean,0.005806606741765252
symmetry_se,0.005434445263948096
texture_se,0.0
